user_id,lat,lon,radius
85482587,55.3876868,36.727198,80.0
85482587,55.386438,36.741491,111.0
85482587,55.387967,36.735831,111.0
86578948,55.6858697,37.8997145,80.0
86578948,55.6592489,37.9081924,85.0
58882575,36.8065364,126.4749581,50.0
58882575,36.7878049,126.4666087,80.0
58882575,36.7844734,126.4654094,80.0
89508326,51.5385172,43.1546301,80.0
94929805,55.3533725,65.2421698,80.0
94929805,55.3522656,65.2479181,80.0
